CODI_SERVI;NOMB_SERVI;SENTIDO;PERIODO;TIPO_DIA;EXIJIDO;DEMANDA
376;104;0;6;0;9;2
376;104;0;7;0;12;2
376;104;0;8;0;12;2
376;104;0;9;0;9;2
376;104;0;10;0;9;2
376;104;0;11;0;9;2
376;104;0;12;0;9;2
376;104;0;13;0;9;2
376;104;0;14;0;9;2
376;104;0;15;0;9;2
376;104;0;16;0;9;2
376;104;0;17;0;9;2
376;104;0;18;0;7;2
376;104;0;19;0;6;2
376;104;0;20;0;5;
376;104;1;7;0;5;2
376;104;1;8;0;9;2
376;104;1;9;0;9;2
376;104;1;10;0;9;2
376;104;1;11;0;9;2
376;104;1;12;0;9;2
376;104;1;13;0;9;2
376;104;1;14;0;9;2
376;104;1;15;0;9;2
376;104;1;16;0;9;2
376;104;1;17;0;9;2
376;104;1;18;0;9;2
376;104;1;19;0;7;2
376;104;1;20;0;6;2
376;104;1;21;0;5;2
376;104;0;6;1;4;2
376;104;0;7;1;6;2
376;104;0;8;1;7;2
376;104;0;9;1;7;2
376;104;0;10;1;9;2
376;104;0;11;1;9;2
376;104;0;12;1;9;2
376;104;0;13;1;9;2
376;104;0;14;1;9;2
376;104;0;15;1;9;2
376;104;0;16;1;8;2
376;104;0;17;1;8;2
376;104;0;18;1;7;2
376;104;0;19;1;6;2
376;104;0;20;1;6;2
376;104;1;7;1;2;2
376;104;1;8;1;5;2
376;104;1;9;1;6;2
376;104;1;10;1;7;2
376;104;1;11;1;9;2
376;104;1;12;1;9;2
376;104;1;13;1;9;2
376;104;1;14;1;9;2
376;104;1;15;1;9;2
376;104;1;16;1;9;2
376;104;1;17;1;8;2
376;104;1;18;1;8;2
376;104;1;19;1;6;2
376;104;1;20;1;6;2
376;104;1;21;1;5;2
376;104;0;7;2;2;2
376;104;0;8;2;6;2
376;104;0;9;2;7;2
376;104;0;10;2;7;2
376;104;0;11;2;8;2
376;104;0;12;2;9;2
376;104;0;13;2;9;2
376;104;0;14;2;9;2
376;104;0;15;2;9;2
376;104;0;16;2;7;2
376;104;0;17;2;7;2
376;104;0;18;2;7;2
376;104;0;19;2;6;2
376;104;0;20;2;6;2
376;104;1;8;2;1;2
376;104;1;9;2;4;2
376;104;1;10;2;6;2
376;104;1;11;2;7;2
376;104;1;12;2;7;2
376;104;1;13;2;8;2
376;104;1;14;2;9;2
376;104;1;15;2;9;2
376;104;1;16;2;9;2
376;104;1;17;2;7;2
376;104;1;18;2;7;2
376;104;1;19;2;6;2
376;104;1;20;2;6;2
376;104;1;21;2;5;2
377;104N;1;20;0;4;2
378;104Y1;1;7;0;4;2
